acc	organisms	technology	platforms	samples
SRP049818	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP075609	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP075490	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	SRR3560886,SRR3560885,SRR3560884,SRR3560883,SRR3560882,SRR3560881,SRR3560880,SRR3560879,SRR3560878,SRR3560877,SRR3560876,SRR3560875,SRR3560874,SRR3560873,SRR3560872,SRR3560871,SRR3560870,SRR3560869,SRR3560868,SRR3560867,SRR3560866,SRR3560865,SRR3560864,SRR3560863,SRR3560862,SRR3560861,SRR3560860,SRR3560859,SRR3560858,SRR3560857,SRR3560856,SRR3560855,SRR3560854,SRR3560853,SRR3560852,SRR3560851,SRR3560850,SRR3560849,SRR3560848,SRR3560847,SRR3560846,SRR3560845,SRR3560844,SRR3560843,SRR3560842,SRR3560841,SRR3560840,SRR3560839,SRR3560838,SRR3560837,SRR3560836,SRR3560835
SRP072843	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP075411	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1500,IlluminaHiSeq1500	NA
SRP126749	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
ERP006055	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaGenomeAnalyzerII,Illumina Genome Analyzer II	NA
SRP128126	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,NextSeq 500,Illumina HiSeq 2500,NextSeq500	NA
SRP045777	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP106807	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq1000,Illumina HiSeq 1000	NA
SRP150499	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500,NextSeq500	NA
SRP076520	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP039021	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiScanSQ,Illumina HiSeq 2000,IlluminaHiScanSQ,IlluminaHiSeq2000	NA
SRP037986	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP109152	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,NextSeq 500,NextSeq500	NA
SRP052323	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP103782	RATTUS_NORVEGICUS	RNA-SEQ	IonTorrentProton,Ion Torrent Proton	NA
ERP024368	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP006893	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaGenomeAnalyzerII,Illumina Genome Analyzer II	NA
SRP126576	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP089885	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP070436	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP070882	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP125606	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP158667	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq550,NextSeq 550	NA
SRP128590	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP076044	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
ERP105942	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP040578	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq1000,Illumina HiSeq 1000	NA
SRP151694	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP082307	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP029332	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II,IlluminaGenomeAnalyzerII	NA
SRP109662	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP004900	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer,IlluminaGenomeAnalyzer	NA
SRP039954	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq1500,Illumina HiSeq 1500	NA
SRP117172	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500,NextSeq500	NA
SRP052165	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP004084	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	NA
SRP106502	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	SRR5512112,SRR5512111,SRR5512110,SRR5512109,SRR5512108,SRR5512107,SRR5512106,SRR5512105,SRR5512104,SRR5512103,SRR5512102,SRR5512101,SRR5512100,SRR5512099,SRR5512098,SRR5512097,SRR5512096,SRR5512095
SRP048215	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	SRR1589695,SRR1589694,SRR1589693,SRR1589692,SRR1589691,SRR1589690,SRR1589689,SRR1589688
SRP043707	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	SRR1502870,SRR1502869,SRR1502867,SRR1502866,SRR1502864,SRR1502863
SRP040664	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer,IlluminaGenomeAnalyzer	SRR1206629,SRR1206628,SRR1206627,SRR1206626,SRR1206625,SRR1206624,SRR1206623,SRR1206622,SRR1206621
SRP035620	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaGenomeAnalyzerII,Illumina Genome Analyzer II	SRR1141020,SRR1141019,SRR1141018,SRR1141017,SRR1141016,SRR1141015,SRR1141014,SRR1141013
SRP095173	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
